CodEstacao,Municipio,UF,TipoEstacao,Situacao,Latitude,Longitude,AltitudeM,DataInicioOperacao,DataFimOperacao
A863,ITUPORANGA,SC,Automatica,Operante,-27.41833332,-49.64694444,479.79,2008-03-03T21:00:00.000-03:00,
A841,JOACABA,SC,Automatica,Pane,-27.16916666,-51.55888888,767.63,2007-09-19T21:00:00.000-03:00,
A865,LAGES,SC,Automatica,Operante,-27.80222222,-50.33555555,952.7,2014-11-05T21:00:00.000-03:00,
A866,Laguna  - Farol de Santa Marta,SC,Automatica,Pane,-28.60444444,-48.81333333,34.36,2008-05-31T21:00:00.000-03:00,
A864,MAJOR VIEIRA,SC,Automatica,Operante,-26.3936111,-50.36333333,799.58,2009-02-08T21:00:00.000-03:00,
A816,NOVO HORIZONTE,SC,Automatica,Pane,-26.40638888,-52.85027777,943.57,2008-09-19T21:00:00.000-03:00,
A870,RANCHO QUEIMADO,SC,Automatica,Operante,-27.6786111,-49.04194444,881.0,2016-05-30T21:00:00.000-03:00,
A861,RIO DO CAMPO,SC,Automatica,Operante,-26.93749999,-50.14555555,591.67,2008-03-09T21:00:00.000-03:00,
A862,RIO NEGRINHO,SC,Automatica,Operante,-26.2486111,-49.57416666,856.0,2008-03-21T21:00:00.000-03:00,
A815,SAO JOAQUIM,SC,Automatica,Pane,-28.27555554,-49.93472221,1400.06,2008-04-11T21:00:00.000-03:00,
A857,SAO MIGUEL DO OESTE,SC,Automatica,Pane,-26.78638888,-53.51416666,647.0,2008-03-11T21:00:00.000-03:00,
A814,URUSSANGA,SC,Automatica,Pane,-28.53249999,-49.31527777,40.56,2008-05-28T21:00:00.000-03:00,
A858,XANXERE,SC,Automatica,Pane,-26.9386111,-52.39805555,878.74,2008-03-14T21:00:00.000-03:00,
A409,ARACAJU,SE,Automatica,Pane,-10.9525,-37.05444444,3.72,2003-02-11T22:00:00.000-02:00,
A421,BREJO GRANDE,SE,Automatica,Pane,-10.47388888,-36.48194443,6.11,2008-07-16T21:00:00.000-03:00,
A451,ITABAIANA,SE,Automatica,Pane,-10.67166666,-37.47138888,213.0,2017-04-23T21:00:00.000-03:00,
A417,ITABAIANINHA,SE,Automatica,Pane,-11.27249999,-37.79499999,204.8,2007-05-22T21:00:00.000-03:00,
A453,NOSSA SENHORA DA GLORIA,SE,Automatica,Pane,-10.20777777,-37.43194443,271.0,2017-03-23T21:00:00.000-03:00,
A419,POCO VERDE,SE,Automatica,Pane,-10.73805555,-38.10833333,367.01,2008-04-02T21:00:00.000-03:00,
83097,PROPRIA,SE,Convencional,Operante,-10.21388888,-36.84222221,18.46,1925-05-09T21:00:00.000-03:00,
A736,ARIRANHA,SP,Automatica,Operante,-21.13305554,-48.84055555,525.44,2007-11-12T21:00:00.000-03:00,
A725,AVARE,SP,Automatica,Operante,-23.10166666,-48.9411111,776.36,2006-09-21T21:00:00.000-03:00,
A741,BARRA BONITA,SP,Automatica,Operante,-22.4711111,-48.5575,533.68,2008-04-23T21:00:00.000-03:00,
A746,BARRA DO TURVO,SP,Automatica,Operante,-24.96277777,-48.41638888,659.89,2008-07-02T21:00:00.000-03:00,
